geo,TIME_PERIOD,OBS_VALUE
AL,2017,29.4
AL,2018,27.2
AL,2019,27.4
AL,2020,26.2
AT,2010,7.0
AT,2011,7.3
AT,2012,6.5
AT,2013,7.0
AT,2014,6.1
AT,2015,6.4
AT,2016,6.5
AT,2017,5.9
AT,2018,4.9
AT,2019,4.3
AT,2020,5.3
AT,2021,4.8
AT,2022,4.7
BE,2010,7.8
BE,2011,7.8
BE,2012,8.3
BE,2013,6.5
BE,2014,7.6
BE,2015,6.9
BE,2016,7.0
BE,2017,5.4
BE,2018,6.1
BE,2019,5.5
BE,2020,5.6
BE,2021,4.2
BE,2022,4.2
BG,2010,33.8
BG,2011,30.9
BG,2012,31.5
BG,2013,36.1
BG,2014,35.3
BG,2015,33.6
BG,2016,34.2
BG,2017,33.3
BG,2018,31.9
BG,2019,29.3
BG,2020,23.6
BG,2021,20.4
BG,2022,19.9
CH,2010,6.8
CH,2011,5.3
CH,2012,5.0
CH,2013,6.0
CH,2014,8.5
CH,2015,8.6
CH,2016,8.9
CH,2017,8.3
CH,2018,8.7
CH,2019,8.8
CH,2020,7.7
CH,2021,6.9
CY,2010,28.0
CY,2011,28.4
CY,2012,31.5
CY,2013,33.6
CY,2014,34.2
CY,2015,31.6
CY,2016,26.6
CY,2017,24.8
CY,2018,21.6
CY,2019,17.6
CY,2020,14.7
CY,2021,17.3
CZ,2010,6.0
CZ,2011,6.1
CZ,2012,6.0
CZ,2013,5.4
CZ,2014,6.1
CZ,2015,4.5
CZ,2016,4.4
CZ,2017,3.2
CZ,2018,3.0
CZ,2019,2.8
CZ,2020,3.0
CZ,2021,2.4
DE,2010,4.9
DE,2011,5.2
DE,2012,4.8
DE,2013,5.1
DE,2014,5.6
DE,2015,5.2
DE,2016,4.2
DE,2017,4.4
DE,2018,4.6
DE,2019,3.7
DE,2020,5.2
DE,2021,5.6
DK,2010,6.2
DK,2011,6.0
DK,2012,7.3
DK,2013,6.8
DK,2014,7.9
DK,2015,6.3
DK,2016,5.8
DK,2017,6.0
DK,2018,8.7
DK,2019,7.3
DK,2020,7.7
DK,2021,6.3
EE,2010,13.3
EE,2011,13.8
EE,2012,13.1
EE,2013,12.5
EE,2014,12.0
EE,2015,9.3
EE,2016,8.9
EE,2017,7.3
EE,2018,8.0
EE,2019,8.5
EE,2020,5.7
EE,2021,5.7
EE,2022,5.8
EL,2010,30.9
EL,2011,31.9
EL,2012,39.0
EL,2013,45.3
EL,2014,46.4
EL,2015,49.3
EL,2016,47.9
EL,2017,44.9
EL,2018,43.0
EL,2019,41.4
EL,2020,36.9
EL,2021,36.4
EL,2022,45.5
ES,2010,11.7
ES,2011,8.7
ES,2012,10.9
ES,2013,11.9
ES,2014,12.5
ES,2015,11.7
ES,2016,10.6
ES,2017,9.3
ES,2018,9.4
ES,2019,8.1
ES,2020,13.5
ES,2021,14.3
ES,2022,13.2
EU27_2020,2010,12.4
EU27_2020,2011,12.1
EU27_2020,2012,12.6
EU27_2020,2013,12.9
EU27_2020,2014,12.9
EU27_2020,2015,11.8
EU27_2020,2016,10.6
EU27_2020,2017,9.3
EU27_2020,2018,8.9
EU27_2020,2019,8.2
EU27_2020,2020,8.8
EU27_2020,2021,9.1
FI,2010,10.3
FI,2011,11.0
FI,2012,10.8
FI,2013,11.2
FI,2014,10.7
FI,2015,10.3
FI,2016,10.9
FI,2017,10.8
FI,2018,10.7
FI,2019,10.5
FI,2020,10.0
FI,2021,8.2
FI,2022,7.7
FR,2010,10.8
FR,2011,9.9
FR,2012,10.2
FR,2013,9.1
FR,2014,9.8
FR,2015,8.9
FR,2016,8.8
FR,2017,9.1
FR,2018,9.1
FR,2019,8.4
FR,2020,9.1
FR,2021,10.1
HR,2010,30.1
HR,2011,29.6
HR,2012,30.4
HR,2013,31.4
HR,2014,30.1
HR,2015,29.9
HR,2016,26.4
HR,2017,21.9
HR,2018,18.6
HR,2019,15.7
HR,2020,14.2
HR,2021,16.6
HR,2022,15.7
HU,2010,24.3
HU,2011,24.4
HU,2012,26.4
HU,2013,26.7
HU,2014,24.5
HU,2015,21.7
HU,2016,19.0
HU,2017,15.7
HU,2018,12.8
HU,2019,11.2
HU,2020,11.6
HU,2021,11.2
IE,2010,16.7
IE,2011,19.9
IE,2012,22.4
IE,2013,22.5
IE,2014,22.4
IE,2015,18.9
IE,2016,15.4
IE,2017,13.0
IE,2018,11.2
IE,2019,11.9
IE,2020,13.9
IE,2021,13.6
IS,2010,20.4
IS,2011,20.6
IS,2012,18.1
IS,2013,18.6
IS,2014,17.5
IS,2015,15.3
IS,2016,13.5
IS,2017,9.7
IS,2018,10.2
IT,2010,13.5
IT,2011,14.2
IT,2012,13.5
IT,2013,14.2
IT,2014,14.3
IT,2015,14.9
IT,2016,10.7
IT,2017,6.1
IT,2018,6.0
IT,2019,5.9
IT,2020,6.8
IT,2021,7.7
LT,2010,11.9
LT,2011,13.2
LT,2012,13.2
LT,2013,13.8
LT,2014,11.3
LT,2015,9.8
LT,2016,10.7
LT,2017,8.7
LT,2018,10.3
LT,2019,8.2
LT,2020,7.1
LT,2021,6.6
LU,2010,3.3
LU,2011,3.9
LU,2012,4.2
LU,2013,5.2
LU,2014,4.9
LU,2015,5.2
LU,2016,6.6
LU,2017,3.0
LU,2020,4.9
LU,2021,6.6
LV,2010,25.2
LV,2011,25.3
LV,2012,24.4
LV,2013,22.4
LV,2014,21.4
LV,2015,18.0
LV,2016,14.9
LV,2017,14.0
LV,2018,13.8
LV,2019,9.9
LV,2020,9.7
LV,2021,7.2
LV,2022,6.9
ME,2013,38.0
ME,2014,53.6
ME,2015,41.0
ME,2016,37.8
ME,2017,35.0
ME,2018,29.3
ME,2019,34.6
ME,2020,32.1
MK,2010,41.5
MK,2011,38.1
MK,2012,39.5
MK,2013,40.3
MK,2014,39.6
MK,2015,40.5
MK,2016,41.6
MK,2017,39.8
MK,2018,37.7
MK,2019,35.4
MK,2020,32.3
MT,2010,7.8
MT,2011,9.6
MT,2012,11.1
MT,2013,12.5
MT,2014,15.5
MT,2015,10.9
MT,2016,10.4
MT,2017,6.5
MT,2018,8.1
MT,2019,7.8
MT,2020,7.0
MT,2021,7.8
NL,2010,4.9
NL,2011,4.9
NL,2012,5.0
NL,2013,5.0
NL,2014,6.3
NL,2015,5.7
NL,2016,5.0
NL,2017,4.6
NL,2018,3.8
NL,2019,4.0
NL,2020,3.2
NL,2021,2.6
NL,2022,2.9
NO,2010,9.6
NO,2011,7.4
NO,2012,7.8
NO,2013,5.6
NO,2014,5.3
NO,2015,5.8
NO,2016,4.7
NO,2017,5.3
NO,2018,5.3
NO,2019,5.8
NO,2020,6.0
PL,2010,15.3
PL,2011,14.2
PL,2012,15.2
PL,2013,15.1
PL,2014,15.4
PL,2015,11.0
PL,2016,11.0
PL,2017,10.3
PL,2018,7.7
PL,2019,7.4
PL,2020,5.5
PL,2021,7.0
PT,2010,8.6
PT,2011,10.2
PT,2012,9.7
PT,2013,11.8
PT,2014,12.0
PT,2015,10.2
PT,2016,9.3
PT,2017,7.7
PT,2018,6.6
PT,2019,5.8
PT,2020,5.4
PT,2021,6.8
RO,2010,29.0
RO,2011,30.1
RO,2012,32.2
RO,2013,31.5
RO,2014,23.9
RO,2015,19.6
RO,2016,19.7
RO,2017,17.3
RO,2018,16.5
RO,2019,15.4
RO,2020,14.8
RO,2021,9.4
RS,2013,39.0
RS,2014,43.5
RS,2015,37.8
RS,2016,36.7
RS,2017,20.4
RS,2018,30.1
RS,2019,27.5
RS,2020,27.6
RS,2021,22.7
SE,2010,7.7
SE,2011,6.9
SE,2012,7.7
SE,2013,6.8
SE,2014,6.4
SE,2015,6.0
SE,2016,5.4
SE,2017,5.1
SE,2018,4.7
SE,2019,4.8
SE,2020,4.9
SE,2021,5.2
SI,2010,19.5
SI,2011,19.0
SI,2012,21.0
SI,2013,21.2
SI,2014,22.5
SI,2015,19.2
SI,2016,17.4
SI,2017,15.2
SI,2018,13.6
SI,2019,12.2
SI,2020,10.3
SI,2021,9.0
SK,2010,12.1
SK,2011,8.5
SK,2012,8.3
SK,2013,8.1
SK,2014,8.3
SK,2015,7.5
SK,2016,7.5
SK,2017,7.4
SK,2018,9.9
SK,2019,10.2
SK,2020,6.7
SK,2021,6.3
TR,2011,51.6
TR,2012,49.3
TR,2013,46.7
TR,2014,43.6
TR,2015,41.0
TR,2016,36.8
TR,2017,33.6
TR,2018,30.8
TR,2019,34.5
TR,2020,29.9
TR,2021,33.3
UK,2010,9.6
UK,2011,8.9
UK,2012,4.0
UK,2013,3.9
UK,2014,10.8
UK,2015,10.2
UK,2016,8.7
UK,2017,8.0
UK,2018,8.8
XK,2018,49.7
