geo,TIME_PERIOD,OBS_VALUE
AT,2010,76.80
AT,2011,81.60
AT,2012,87.57
AT,2013,92.10
AT,2014,95.33
AT,2015,100.00
AT,2016,108.53
AT,2017,114.26
AT,2018,119.64
AT,2019,126.60
AT,2020,136.31
AT,2021,153.26
AT,2022,171.05
BE,2010,91.92
BE,2011,95.61
BE,2012,97.75
BE,2013,98.90
BE,2014,98.35
BE,2015,100.00
BE,2016,102.64
BE,2017,106.37
BE,2018,109.42
BE,2019,113.78
BE,2020,118.60
BE,2021,127.06
BE,2022,134.18
BG,2010,105.81
BG,2011,99.98
BG,2012,98.07
BG,2013,95.92
BG,2014,97.29
BG,2015,100.00
BG,2016,107.02
BG,2017,116.30
BG,2018,123.96
BG,2019,131.42
BG,2020,137.41
BG,2021,149.33
BG,2022,169.92
CY,2010,112.90
CY,2011,111.09
CY,2012,107.70
CY,2013,103.29
CY,2014,101.47
CY,2015,100.00
CY,2016,100.27
CY,2017,102.52
CY,2018,104.32
CY,2019,108.20
CY,2020,107.98
CY,2021,104.33
CY,2022,107.71
CZ,2010,95.20
CZ,2011,95.30
CZ,2012,93.90
CZ,2013,93.90
CZ,2014,96.20
CZ,2015,100.00
CZ,2016,107.20
CZ,2017,119.70
CZ,2018,130.00
CZ,2019,141.90
CZ,2020,153.90
CZ,2021,184.20
CZ,2022,215.30
DE,2010,83.90
DE,2011,86.80
DE,2012,89.80
DE,2013,92.60
DE,2014,95.50
DE,2015,100.00
DE,2016,107.50
DE,2017,114.10
DE,2018,121.70
DE,2019,128.70
DE,2020,138.70
DE,2021,154.70
DE,2022,162.90
DK,2010,90.66
DK,2011,89.12
DK,2012,86.71
DK,2013,90.09
DK,2014,93.49
DK,2015,100.00
DK,2016,105.22
DK,2017,110.00
DK,2018,114.81
DK,2019,117.51
DK,2020,123.48
DK,2021,137.98
DK,2022,137.30
EE,2010,63.90
EE,2011,69.32
EE,2012,74.37
EE,2013,82.29
EE,2014,93.58
EE,2015,100.00
EE,2016,104.75
EE,2017,110.51
EE,2018,117.07
EE,2019,125.27
EE,2020,132.79
EE,2021,152.78
EE,2022,186.76
ES,2010,134.55
ES,2011,124.27
ES,2012,105.90
ES,2013,96.24
ES,2014,96.54
ES,2015,100.00
ES,2016,104.62
ES,2017,111.10
ES,2018,118.58
ES,2019,124.71
ES,2020,127.50
ES,2021,132.19
ES,2022,141.98
EU27_2020,2010,100.63
EU27_2020,2011,101.22
EU27_2020,2012,99.01
EU27_2020,2013,97.22
EU27_2020,2014,97.84
