geo,TIME_PERIOD,OBS_VALUE
AT,2010,82.88
AT,2011,85.60
AT,2012,89.36
AT,2013,92.12
AT,2014,95.78
AT,2015,100.00
AT,2016,103.09
AT,2017,107.36
AT,2018,111.36
AT,2019,114.66
AT,2020,119.36
AT,2021,121.71
AT,2022,122.71
BE,2010,93.47
BE,2011,94.56
BE,2012,96.02
BE,2013,97.32
BE,2014,99.01
BE,2015,100.00
BE,2016,100.95
BE,2017,102.04
BE,2018,103.11
BE,2019,104.19
BE,2020,106.97
BE,2021,109.13
BE,2022,112.96
BG,2010,96.37
BG,2011,97.67
BG,2012,98.53
BG,2013,99.03
BG,2014,99.26
BG,2015,100.00
BG,2016,100.60
BG,2017,101.60
BG,2018,103.52
BG,2019,106.90
BG,2020,109.61
BG,2021,111.42
BG,2022,118.48
CH,2010,95.68
CH,2011,96.93
CH,2012,97.61
CH,2013,98.05
CH,2014,99.23
CH,2015,100.00
CH,2016,100.19
CH,2017,101.37
CH,2018,101.93
CH,2019,102.51
CH,2020,103.39
CH,2021,104.47
CH,2022,105.97
CY,2010,114.10
CY,2011,114.72
CY,2012,115.22
CY,2013,107.52
CY,2014,101.17
CY,2015,100.00
CY,2016,99.50
CY,2017,100.25
CY,2018,102.74
CY,2019,106.21
CY,2020,108.84
CY,2021,110.90
CY,2022,114.28
CZ,2010,89.9
CZ,2011,92.4
CZ,2012,96.3
CZ,2013,98.3
CZ,2014,99.2
CZ,2015,100.0
CZ,2016,101.2
CZ,2017,103.4
CZ,2018,106.4
CZ,2019,110.4
CZ,2020,113.8
CZ,2021,116.5
CZ,2022,122.3
DE,2010,93.8
DE,2011,94.9
DE,2012,96.1
DE,2013,97.3
DE,2014,98.8
DE,2015,100.0
DE,2016,101.2
DE,2017,102.9
DE,2018,104.6
DE,2019,106.1
DE,2020,107.6
DE,2021,109.0
DE,2022,110.8
DK,2010,89.4
DK,2011,92.1
DK,2012,94.5
DK,2013,96.5
DK,2014,98.1
DK,2015,100.0
DK,2016,101.4
DK,2017,103.0
DK,2018,104.2
DK,2019,105.1
DK,2020,106.1
DK,2021,107.5
DK,2022,109.7
EE,2010,51.12
EE,2011,62.18
EE,2012,73.59
EE,2013,83.98
EE,2014,93.18
EE,2015,100.00
EE,2016,106.48
EE,2017,114.28
EE,2018,122.33
EE,2019,130.68
EE,2020,125.22
EE,2021,129.88
EE,2022,158.56
EL,2010,123.14
EL,2011,124.16
EL,2012,121.58
EL,2013,113.33
EL,2014,104.64
EL,2015,100.00
EL,2016,97.39
EL,2017,95.23
EL,2018,92.16
EL,2019,92.16
EL,2020,92.16
EL,2021,92.27
EL,2022,93.46
ES,2010,100.45
ES,2011,101.51
