geo,TIME_PERIOD,OBS_VALUE
AT,2010,90.14
AT,2011,93.35
AT,2012,95.75
AT,2013,97.77
AT,2014,99.20
AT,2015,100.00
AT,2016,100.97
AT,2017,103.22
AT,2018,105.41
AT,2019,106.98
AT,2020,108.47
AT,2021,111.46
AT,2022,121.07
BE,2010,92.09
BE,2011,95.18
BE,2012,97.68
BE,2013,98.90
BE,2014,99.38
BE,2015,100.00
BE,2016,101.77
BE,2017,104.03
BE,2018,106.44
BE,2019,107.77
BE,2020,108.23
BE,2021,111.71
BE,2022,123.26
BG,2010,96.66
BG,2011,99.94
BG,2012,102.33
BG,2013,102.72
BG,2014,101.08
BG,2015,100.00
BG,2016,98.68
BG,2017,99.85
BG,2018,102.48
BG,2019,104.99
BG,2020,106.27
BG,2021,109.30
BG,2022,123.52
CH,2010,101.39
CH,2011,101.49
CH,2012,100.76
CH,2013,100.83
CH,2014,100.84
CH,2015,100.00
CH,2016,99.47
CH,2017,100.11
CH,2018,101.03
CH,2019,101.41
CH,2020,100.56
CH,2021,101.04
CH,2022,103.74
CY,2010,95.09
CY,2011,98.40
CY,2012,101.45
CY,2013,101.84
CY,2014,101.57
CY,2015,100.00
CY,2016,98.78
CY,2017,99.45
CY,2018,100.23
CY,2019,100.78
CY,2020,99.67
CY,2021,101.92
CY,2022,110.17
CZ,2010,92.6
CZ,2011,94.6
CZ,2012,98.0
CZ,2013,99.3
CZ,2014,99.8
CZ,2015,100.0
CZ,2016,100.7
CZ,2017,103.1
CZ,2018,105.1
CZ,2019,107.8
CZ,2020,111.4
CZ,2021,115.1
CZ,2022,132.1
DE,2010,92.7
DE,2011,95.0
DE,2012,97.0
DE,2013,98.6
DE,2014,99.3
DE,2015,100.0
DE,2016,100.4
DE,2017,102.1
DE,2018,104.0
DE,2019,105.5
DE,2020,105.8
DE,2021,109.2
DE,2022,118.7
DK,2010,94.1
DK,2011,96.6
DK,2012,98.9
DK,2013,99.4
DK,2014,99.8
DK,2015,100.0
DK,2016,100.0
DK,2017,101.1
DK,2018,101.8
DK,2019,102.5
DK,2020,102.9
DK,2021,104.9
DK,2022,113.8
EE,2010,87.96
EE,2011,92.43
EE,2012,96.33
EE,2013,99.46
EE,2014,99.93
EE,2015,100.00
EE,2016,100.80
EE,2017,104.48
EE,2018,108.05
EE,2019,110.50
EE,2020,109.80
EE,2021,114.72
EE,2022,137.03
EL,2010,99.27
EL,2011,102.36
EL,2012,103.42
EL,2013,102.54
EL,2014,101.11
EL,2015,100.00
EL,2016,100.02
EL,2017,101.15
EL,2018,101.94
EL,2019,102.46
EL,2020,101.17
EL,2021,101.75
EL,2022,111.21
ES,2010,94.08
ES,2011,96.94
ES,2012,99.31
ES,2013,100.83
ES,2014,100.63
ES,2015,100.00
ES,2016,99.66
ES,2017,101.69
ES,2018,103.46
ES,2019,104.26
ES,2020,103.91
ES,2021,107.04
ES,2022,115.95
EU27_2020,2010,93.03
EU27_2020,2011,95.69
EU27_2020,2012,98.19
EU27_2020,2013,99.49
EU27_2020,2014,99.89
EU27_2020,2015,100.00
EU27_2020,2016,100.18
EU27_2020,2017,101.74
EU27_2020,2018,103.57
EU27_2020,2019,105.04
EU27_2020,2020,105.76
EU27_2020,2021,108.82
EU27_2020,2022,118.82
FI,2010,90.83
FI,2011,93.85
FI,2012,96.81
FI,2013,98.96
FI,2014,100.16
FI,2015,100.00
FI,2016,100.39
FI,2017,101.23
FI,2018,102.42
FI,2019,103.58
FI,2020,103.98
FI,2021,106.12
FI,2022,113.74
FR,2010,94.05
FR,2011,96.20
FR,2012,98.33
FR,2013,99.31
FR,2014,99.91
FR,2015,100.00
FR,2016,100.31
FR,2017,101.47
FR,2018,103.60
FR,2019,104.95
FR,2020,105.50
FR,2021,107.68
FR,2022,114.04
HR,2010,92.55
HR,2011,94.59
HR,2012,97.76
HR,2013,100.04
HR,2014,100.26
HR,2015,100.00
HR,2016,99.37
HR,2017,100.67
HR,2018,102.23
HR,2019,103.04
HR,2020,103.06
HR,2021,105.82
HR,2022,117.11
HU,2010,89.47
HU,2011,92.98
HU,2012,98.24
HU,2013,99.92
HU,2014,99.94
HU,2015,100.00
HU,2016,100.45
HU,2017,102.84
HU,2018,105.84
HU,2019,109.46
HU,2020,113.15
HU,2021,119.04
HU,2022,137.22
IE,2010,96.2
IE,2011,97.4
IE,2012,99.2
IE,2013,99.7
IE,2014,100.0
IE,2015,100.0
IE,2016,99.8
IE,2017,100.1
IE,2018,100.8
IE,2019,101.7
IE,2020,101.2
IE,2021,103.6
IE,2022,112.0
IS,2010,85.85
IS,2011,89.46
IS,2012,94.84
IS,2013,98.76
IS,2014,99.74
IS,2015,100.00
IS,2016,100.79
IS,2017,99.13
IS,2018,99.86
IS,2019,101.85
IS,2020,103.06
IS,2021,106.84
IS,2022,112.96
IT,2010,92.6
IT,2011,95.3
IT,2012,98.4
IT,2013,99.7
IT,2014,99.9
IT,2015,100.0
IT,2016,99.9
IT,2017,101.3
IT,2018,102.5
IT,2019,103.2
IT,2020,103.0
IT,2021,105.0
IT,2022,114.2
LT,2010,92.43
LT,2011,96.24
LT,2012,99.28
LT,2013,100.44
LT,2014,100.68
LT,2015,100.00
LT,2016,100.68
LT,2017,104.42
LT,2018,107.07
LT,2019,109.47
LT,2020,110.63
LT,2021,115.75
LT,2022,137.57
LU,2010,91.44
LU,2011,94.85
LU,2012,97.59
LU,2013,99.25
LU,2014,99.94
LU,2015,100.00
LU,2016,100.04
LU,2017,102.15
LU,2018,104.21
LU,2019,105.93
LU,2020,105.93
LU,2021,109.61
LU,2022,118.55
LV,2010,92.96
LV,2011,96.88
LV,2012,99.09
LV,2013,99.11
LV,2014,99.79
LV,2015,100.00
LV,2016,100.10
LV,2017,103.00
LV,2018,105.63
LV,2019,108.53
LV,2020,108.62
LV,2021,112.14
LV,2022,131.47
MK,2010,92.57
MK,2011,95.52
MK,2012,97.26
MK,2013,99.91
MK,2014,99.87
MK,2015,100.00
MK,2016,100.24
MK,2017,102.35
MK,2018,104.66
MK,2019,105.42
MK,2020,106.73
MK,2021,110.36
MK,2022,125.83
MT,2010,91.79
MT,2011,94.10
MT,2012,97.13
MT,2013,98.08
MT,2014,98.84
MT,2015,100.00
MT,2016,100.90
MT,2017,102.18
MT,2018,103.95
MT,2019,105.54
MT,2020,106.37
MT,2021,107.12
MT,2022,113.69
NL,2010,92.05
NL,2011,94.32
NL,2012,96.99
NL,2013,99.47
NL,2014,99.79
NL,2015,100.00
NL,2016,100.11
NL,2017,101.40
NL,2018,103.02
NL,2019,105.78
NL,2020,106.96
NL,2021,109.98
NL,2022,122.78
NO,2010,92.8
NO,2011,94.0
NO,2012,94.3
NO,2013,96.2
NO,2014,98.0
NO,2015,100.0
NO,2016,103.9
NO,2017,105.8
NO,2018,109.0
NO,2019,111.5
NO,2020,112.8
NO,2021,117.2
NO,2022,124.5
PL,2010,92.7
PL,2011,96.3
PL,2012,99.8
PL,2013,100.6
PL,2014,100.7
PL,2015,100.0
PL,2016,99.8
PL,2017,101.4
PL,2018,102.6
PL,2019,104.8
PL,2020,108.6
PL,2021,114.3
PL,2022,129.4
PT,2010,93.22
PT,2011,96.54
PT,2012,99.22
PT,2013,99.65
PT,2014,99.50
PT,2015,100.00
PT,2016,100.64
PT,2017,102.20
PT,2018,103.40
PT,2019,103.71
PT,2020,103.58
PT,2021,104.55
PT,2022,113.03
RO,2010,87.73
RO,2011,92.84
RO,2012,95.98
RO,2013,99.04
RO,2014,100.41
RO,2015,100.00
RO,2016,98.93
RO,2017,100.00
RO,2018,104.08
RO,2019,108.15
RO,2020,110.67
RO,2021,115.21
RO,2022,129.06
RS,2010,74.9
RS,2011,83.3
RS,2012,89.4
RS,2013,96.3
RS,2014,98.5
RS,2015,100.0
RS,2016,101.3
RS,2017,104.7
RS,2018,106.8
RS,2019,108.8
RS,2020,110.7
RS,2021,115.2
RS,2022,128.7
SE,2010,96.43
SE,2011,97.75
SE,2012,98.66
SE,2013,99.10
SE,2014,99.30
SE,2015,100.00
SE,2016,101.14
SE,2017,103.02
SE,2018,105.12
SE,2019,106.93
SE,2020,107.63
SE,2021,110.49
SE,2022,119.39
SI,2010,93.86
SI,2011,95.81
SI,2012,98.50
SI,2013,100.40
SI,2014,100.77
SI,2015,100.00
SI,2016,99.85
SI,2017,101.40
SI,2018,103.36
SI,2019,105.11
SI,2020,104.82
SI,2021,106.97
SI,2022,116.94
SK,2010,91.69
SK,2011,95.43
SK,2012,99.00
SK,2013,100.45
SK,2014,100.35
SK,2015,100.00
SK,2016,99.52
SK,2017,100.90
SK,2018,103.46
SK,2019,106.33
SK,2020,108.47
SK,2021,111.53
SK,2022,125.05
TR,2010,68.37
TR,2011,72.79
TR,2012,79.31
TR,2013,85.22
TR,2014,92.81
TR,2015,100.00
TR,2016,107.66
TR,2017,119.63
TR,2018,139.17
TR,2019,160.30
TR,2020,179.98
TR,2021,215.24
TR,2022,370.82
UK,2010,89.4
UK,2011,93.4
UK,2012,96.1
UK,2013,98.5
UK,2014,100.0
UK,2015,100.0
UK,2016,100.7
UK,2017,103.4
UK,2018,105.9
UK,2019,107.8
US,2010,92.66
US,2011,96.20
US,2012,98.23
US,2013,99.46
US,2014,100.76
US,2015,100.00
US,2016,100.57
US,2017,102.34
US,2018,104.55
US,2019,105.99
US,2020,106.80
US,2021,112.50
US,2022,122.27
