geo,TIME_PERIOD,OBS_VALUE
AT,2003,96.9
AT,2004,97.6
AT,2005,98.2
AT,2006,97.7
AT,2007,96.7
AT,2008,96.8
AT,2009,100.8
AT,2010,99.0
AT,2011,99.0
AT,2012,101.7
AT,2013,103.5
AT,2014,103.5
AT,2015,103.9
AT,2016,108.0
AT,2017,108.8
AT,2018,108.4
AT,2019,109.0
AT,2020,111.5
AT,2021,109.9
BE,2003,120.3
BE,2004,119.7
BE,2005,117.7
BE,2006,117.3
BE,2007,114.9
BE,2008,116.8
BE,2009,115.7
BE,2010,115.8
BE,2011,118.0
BE,2012,117.1
BE,2013,116.6
BE,2014,116.8
BE,2015,117.1
BE,2016,120.7
BE,2017,122.3
BE,2018,123.3
BE,2019,123.0
BE,2020,120.1
BE,2021,121.5
BG,2003,24.0
BG,2004,25.1
BG,2005,26.3
BG,2006,29.6
BG,2007,31.6
BG,2008,36.4
BG,2009,39.2
BG,2010,39.2
BG,2011,36.3
BG,2012,36.4
BG,2013,34.9
BG,2014,33.3
BG,2015,33.0
BG,2016,32.8
BG,2017,35.1
BG,2018,35.7
BG,2019,37.1
BG,2020,34.6
BG,2021,36.0
CH,2003,160.0
CH,2004,155.6
CH,2005,151.8
CH,2006,147.4
CH,2007,140.4
CH,2008,146.0
CH,2009,155.7
CH,2010,166.5
CH,2011,187.8
CH,2012,187.9
CH,2013,178.9
CH,2014,183.0
CH,2015,199.5
CH,2016,199.0
CH,2017,195.6
CH,2018,188.9
CH,2019,194.6
CH,2020,200.7
CH,2021,196.7
CY,2003,65.2
CY,2004,69.2
CY,2005,75.0
CY,2006,79.0
CY,2007,82.1
CY,2008,86.6
CY,2009,88.5
CY,2010,92.4
CY,2011,94.5
CY,2012,97.5
CY,2013,90.5
CY,2014,83.1
CY,2015,79.0
CY,2016,68.5
CY,2017,69.7
CY,2018,72.5
CY,2019,74.5
CY,2020,73.1
CY,2021,74.4
CZ,2003,48.6
CZ,2004,48.8
CZ,2005,51.9
CZ,2006,55.6
CZ,2007,55.5
CZ,2008,64.8
CZ,2009,65.4
CZ,2010,68.2
CZ,2011,69.2
CZ,2012,67.0
CZ,2013,64.5
CZ,2014,59.1
CZ,2015,60.5
CZ,2016,62.7
CZ,2017,65.6
CZ,2018,70.7
CZ,2019,72.7
CZ,2020,72.5
CZ,2021,74.5
DE,2003,126.6
DE,2004,125.4
DE,2005,122.9
DE,2006,121.8
DE,2007,118.8
DE,2008,117.4
DE,2009,118.1
DE,2010,116.5
DE,2011,116.7
DE,2012,116.2
DE,2013,117.2
DE,2014,117.6
DE,2015,117.9
DE,2016,117.5
DE,2017,117.5
DE,2018,115.9
DE,2019,115.5
DE,2020,115.4
DE,2021,116.2
DK,2003,160.6
DK,2004,152.0
DK,2005,151.2
DK,2006,149.5
DK,2007,147.9
DK,2008,148.5
DK,2009,152.3
DK,2010,152.8
DK,2011,156.7
DK,2012,156.7
DK,2013,156.1
DK,2014,159.3
DK,2015,157.0
DK,2016,165.7
DK,2017,165.5
DK,2018,162.7
DK,2019,171.9
DK,2020,177.5
DK,2021,177.8
EE,2003,52.8
EE,2004,54.8
EE,2005,56.2
EE,2006,61.2
EE,2007,69.2
EE,2008,69.1
EE,2009,63.8
EE,2010,60.6
EE,2011,61.6
EE,2012,62.1
EE,2013,64.0
EE,2014,63.7
EE,2015,62.6
EE,2016,64.2
EE,2017,65.4
EE,2018,66.2
EE,2019,68.1
EE,2020,65.2
EE,2021,70.6
